location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet A,Women's Round Robin Session 9,People's Republic of China,ROCROC,,,,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000901-.htm,CUR,CHN,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 9,Sweden,DENDenmark,,,,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000902-.htm,CUR,SWE,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 9,United States of America,SUISwitzerland,,,,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000903-.htm,CUR,USA,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 9,Great Britain,JPNJapan,,,,2022-02-15T14:05:00+08:00,../../../en/results/curling/results-women-prel-000904-.htm,CUR,GBR,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 10,Sweden,GBRGreat Britain,,,,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001001-.htm,CUR,SWE,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 10,Italy,USAUnited States of America,,,,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001002-.htm,CUR,ITA,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 10,Norway,CHNPeople's Republic of China,,,,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001003-.htm,CUR,NOR,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 10,ROC,CANCanada,,,,2022-02-15T20:05:00+08:00,../../../en/results/curling/results-men-prel-001004-.htm,CUR,ROC,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 10,Canada,USAUnited States of America,,,,2022-02-16T09:05:00+08:00,../../../en/results/curling/results-women-prel-001001-.htm,CUR,CAN,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 10,Switzerland,KORRepublic of Korea,,,,2022-02-16T09:05:00+08:00,../../../en/results/curling/results-women-prel-001002-.htm,CUR,SUI,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 10,People's Republic of China,GBRGreat Britain,,,,2022-02-16T09:05:00+08:00,../../../en/results/curling/results-women-prel-001003-.htm,CUR,CHN,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 11,People's Republic of China,SUISwitzerland,,,,2022-02-16T14:05:00+08:00,../../../en/results/curling/results-men-prel-001101-.htm,CUR,CHN,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 11,Great Britain,ROCROC,,,,2022-02-16T14:05:00+08:00,../../../en/results/curling/results-men-prel-001102-.htm,CUR,GBR,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 11,Italy,DENDenmark,,,,2022-02-16T14:05:00+08:00,../../../en/results/curling/results-men-prel-001103-.htm,CUR,ITA,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 11,Republic of Korea,DENDenmark,,,,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001101-.htm,CUR,KOR,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 11,Japan,USAUnited States of America,,,,2022-02-16T20:05:00+08:00,../../../en/results/curling/results-women-prel-001102-.htm,CUR,JPN,,Women's
